BinID,Enrichment,Best_Classification,Completeness,Contamination,Quality,Classification,Confidence,Tax_Level
Emma2metabat.67,Emma2,Paracoccus_0.59_genus,0,0,Low,Paracoccus,0.59,genus
Emma2metabat.68,Emma2,Chelatococcus_0.58_genus,39.6551724137931,0,Low,Chelatococcus,0.58,genus
Emma2metabat.69,Emma2,Rhizobiales_0.71_order,0,0,Low,Rhizobiales,0.71,order
Emma2metabat.7,Emma2,Rhizobiales_0.70_order,0,0,Low,Rhizobiales,0.7,order
Emma2metabat.70,Emma2,Sphingobacterium_0.96_genus,99.52380952380952,1.4444444444444444,High,Sphingobacterium,0.96,genus
Emma2metabat.71,Emma2,Luteimonas_0.49_genus,5.172413793103448,0,Low,Luteimonas,0.49,genus
Emma2metabat.72,Emma2,Hydrogenophaga_0.37_genus,4.166666666666667,0,Low,Hydrogenophaga,0.37,genus
Emma2metabat.73,Emma2,Proteobacteria_0.32_phylum,0.31347962382445144,0,Low,Proteobacteria,0.32,phylum
Emma2metabat.8,Emma2,Intramacronucleata_0.57_subphylum,6.919482386772106,0.9345794392523364,Low,Intramacronucleata,0.57,subphylum
Emma2metabat.9,Emma2,Luteimonas_0.48_genus,76.09920634920636,0,Medium,Luteimonas,0.48,genus
Laura1metabat.45,Laura1,NA,22.413793103448278,0,Low,NA,NA,NA
Laura1metabat.58,Laura1,NA,97.60536398467433,2.068181818181818,High,NA,NA,NA
Laura1metabat.61,Laura1,NA,98.51485148514851,0,High,NA,NA,NA
Emma2metabat.38,Emma2,NA,70.60755336617406,0,Medium,NA,NA,NA
Emma2metabat.42,Emma2,NA,99.00990099009901,0,High,NA,NA,NA
